step,posterior_p_L
1,0.15
2,0.075
3,0.0375
4,0.01875
5,0.009375
6,0.0046875
7,0.00234375
8,0.001171875
9,0.0005859375
10,0.00029296875
11,0.000146484375
12,7.32421875e-05
13,3.662109375e-05
14,1.8310546875e-05
15,9.1552734375e-06
16,4.57763671875e-06
17,2.288818359375e-06
18,1.1444091796875e-06
19,5.7220458984375e-07
20,2.86102294921875e-07
21,1.430511474609375e-07
22,7.152557373046875e-08
23,3.5762786865234374e-08
24,1.7881393432617187e-08
25,8.940696716308593e-09
26,4.470348358154297e-09
27,2.2351741790771484e-09
28,1.1175870895385742e-09
29,5.587935447692871e-10
30,2.7939677238464354e-10
31,1.3969838619232177e-10
32,6.984919309616089e-11
33,3.492459654808044e-11
34,1.746229827404022e-11
35,8.73114913702011e-12
36,4.365574568510055e-12
37,2.1827872842550277e-12
38,1.0913936421275138e-12
39,5.456968210637569e-13
40,2.7284841053187846e-13
41,1.3642420526593923e-13
42,6.821210263296962e-14
43,3.410605131648481e-14
44,1.7053025658242404e-14
45,8.526512829121202e-15
46,4.263256414560601e-15
47,2.1316282072803005e-15
48,1.0658141036401502e-15
49,5.329070518200751e-16
50,2.6645352591003756e-16
