id,type,delay,adoption_time,contract
0,H,0,0,S
1,L,0,0,Y
2,L,0,0,Y
3,L,0,0,Y
4,H,0,0,S
5,H,0,0,S
6,H,0,0,S
7,L,0,0,Y
8,L,0,0,Y
9,L,0,0,Y
10,L,0,0,Y
11,H,0,0,S
12,L,0,0,Y
13,L,0,0,Y
14,H,0,0,S
15,H,0,0,S
16,L,0,0,Y
17,H,0,0,S
18,H,0,0,S
19,L,0,0,Y
20,H,0,0,S
21,H,0,0,S
22,L,0,0,Y
23,L,0,0,Y
24,H,0,0,S
25,L,0,0,Y
26,L,0,0,Y
27,L,0,0,Y
28,H,0,0,S
29,H,0,0,S
30,H,0,0,S
31,H,0,0,S
32,H,0,0,S
33,H,0,0,S
34,L,0,0,Y
35,H,0,0,S
36,H,0,0,S
37,H,0,0,S
38,H,0,0,S
39,H,0,0,S
40,H,0,0,S
41,L,0,0,Y
42,L,0,0,Y
43,L,0,0,Y
44,L,0,0,Y
45,L,0,0,Y
46,L,0,0,Y
47,L,0,0,Y
48,H,0,0,S
49,L,0,0,Y
50,L,0,0,Y
51,L,0,0,Y
52,L,0,0,Y
53,H,0,0,S
54,H,0,0,S
55,H,0,0,S
56,L,0,0,Y
57,H,0,0,S
58,L,0,0,Y
59,L,0,0,Y
60,H,0,0,S
61,H,0,0,S
62,H,0,0,S
63,H,0,0,S
64,H,0,0,S
65,H,0,0,S
66,L,0,0,Y
67,L,0,0,Y
68,L,0,0,Y
69,L,0,0,Y
70,L,0,0,Y
71,H,0,0,S
72,H,0,0,S
73,L,0,0,Y
74,H,0,0,S
75,L,0,0,Y
76,H,0,0,S
77,L,0,0,Y
78,L,0,0,Y
79,L,0,0,Y
80,H,0,0,S
81,L,0,0,Y
82,H,0,0,S
83,H,0,0,S
84,L,0,0,Y
85,L,0,0,Y
86,H,0,0,S
87,H,0,0,S
88,L,0,0,Y
89,L,0,0,Y
90,L,0,0,Y
91,H,0,0,S
92,H,0,0,S
93,L,0,0,Y
94,L,0,0,Y
95,L,0,0,Y
96,H,0,0,S
97,H,0,0,S
98,H,0,0,S
99,H,0,0,S
100,L,0,0,Y
101,H,0,0,S
102,H,0,0,S
103,H,0,0,S
104,L,0,0,Y
105,H,0,0,S
106,L,0,0,Y
107,L,0,0,Y
108,L,0,0,Y
109,H,0,0,S
110,H,0,0,S
111,L,0,0,Y
112,H,0,0,S
113,L,0,0,Y
114,H,0,0,S
115,H,0,0,S
116,L,0,0,Y
117,H,0,0,S
118,H,0,0,S
119,L,0,0,Y
120,H,0,0,S
121,H,0,0,S
122,H,0,0,S
123,H,0,0,S
124,L,0,0,Y
125,L,0,0,Y
126,L,0,0,Y
127,H,0,0,S
128,H,0,0,S
129,H,0,0,S
130,L,0,0,Y
131,L,0,0,Y
132,H,0,0,S
133,H,0,0,S
134,L,0,0,Y
135,L,0,0,Y
136,L,0,0,Y
137,H,0,0,S
138,H,0,0,S
139,L,0,0,Y
140,L,0,0,Y
141,H,0,0,S
142,L,0,0,Y
143,H,0,0,S
144,L,0,0,Y
145,L,0,0,Y
146,H,0,0,S
147,H,0,0,S
148,L,0,0,Y
149,L,0,0,Y
150,H,0,0,S
151,H,0,0,S
152,L,0,0,Y
153,H,0,0,S
154,L,0,0,Y
155,L,0,0,Y
156,L,0,0,Y
157,H,0,0,S
158,L,0,0,Y
159,L,0,0,Y
160,L,0,0,Y
161,H,0,0,S
162,L,0,0,Y
163,H,0,0,S
164,H,0,0,S
165,L,0,0,Y
166,L,0,0,Y
167,H,0,0,S
168,L,0,0,Y
169,L,0,0,Y
170,H,0,0,S
171,H,0,0,S
172,L,0,0,Y
173,H,0,0,S
174,H,0,0,S
175,L,0,0,Y
176,L,0,0,Y
177,L,0,0,Y
178,L,0,0,Y
179,L,0,0,Y
180,H,0,0,S
181,H,0,0,S
182,H,0,0,S
183,L,0,0,Y
184,L,0,0,Y
185,L,0,0,Y
186,H,0,0,S
187,L,0,0,Y
188,L,0,0,Y
189,L,0,0,Y
190,L,0,0,Y
191,L,0,0,Y
192,L,0,0,Y
193,H,0,0,S
194,L,0,0,Y
195,H,0,0,S
196,H,0,0,S
197,L,0,0,Y
198,H,0,0,S
199,H,0,0,S
